chunk_id,start,end,text,embedding_index
0,0.0,13.0,"So, hello everyone. Welcome to the PC Seminar. Today we have this professor Amir Mohad from  American University of Beirut and he'll be talking on the girth and parametrious complex",0
1,13.0,25.52,"at your token sliding and token jumping. Thank you for joining us professor, over to  you now. Thank you, President. Thank you for having me. It's a real pleasure to be here.",1
2,25.52,40.02,"So, all right, let's jump right into it. So, since I did not really know the audience  too well, I made the assumption that many of you maybe have not seen this area of combinatorial",2
3,40.02,51.4,"reconfiguration problems. So, I decided what I'm going to do is I'm going to give a gentle  introduction to the area just to show you how many exciting problems and open problems",3
4,51.4,63.9,"are there. And then I will talk more about token jumping and token sliding, specifically  what we know about them, what we knew about them before we started working on this project,",4
5,63.9,77.3,"what we managed to discover and the tons of questions that remain to be answered. Right,  and it's a really, I mean, the questions are so nice to stay, so easy to stay and they",5
6,77.3,91.32,"are accessible really to researchers at any level, which is one of the reasons why I enjoy  working on these problems. So, so hopefully you'll get to enjoy them too. So, before I start,",6
7,91.32,105.26,"I should point out that this is joint work that started back in the combinatorial reconfiguration  workshop almost two years ago. And it's joint work with Valentine Bartet, Nicolabusche,",7
8,105.26,115.96,"Le Mondalar and Karl Lomar, who is my master's student. All right, so the outline of the talk,",8
9,115.96,129.72,"it's going to be in four sections. I will give a gentle introduction to combinatorial  reconfiguration, because I know many of you might not have seen such problems. Then I will",9
10,129.72,141.2,"talk about token jumping and token sliding, what we know about them in terms of classical  complexity or one dimensional complexity. Then I'll talk about the paramjazz complexity of these two",10
11,141.2,153.74,"problems and what we know as of today, as we speak. And what are the problems that remain to be solved?  And then the last part of the lecture is where I will put some of the technical stuff to show you",11
12,153.74,166.04,to give you an idea about how we prove things when we deal with such problems and where are the  difficulties and what kind of techniques have been developed. So I tried to keep the technical part,12
13,166.04,179.78,"as light as I could so that really we I mean I can focus on the big picture and the questions to  be asked and answered. So if you have any questions along the way, please feel free to interrupt me",13
14,179.78,193.1,either in the chat or by unmuting yourselves. So don't worry about leaving the questions  to the end. You can interrupt me whenever you feel whenever I say something that doesn't make sense.,14
15,193.1,206.38,"Hopefully that won't happen too often. All right, so what is combinatorial reconfiguration?  So the best way I think to introduce is with a familiar example, which is one player games,",15
16,206.38,219.94,"and the most common one that we use is the 15 puzzle game. So for those of you who don't know  the 15 puzzle game, so you're given like a four by four grid and you have one empty square",16
17,219.94,232.22,and basically you have all the remaining 15 squares are numbered from one to 15 and they come  in some ordering and your job is to basically move the squares around so that all the numbers become,17
18,232.22,245.68,"ordered. So it's a vital. So they have to be ordered this way. So if you notice in this figure,  the only problem is that 14 and 15 are reversed. But the only moves that you're allowed to do is",18
19,245.68,260.96,"to basically move a number into the empty square. And basically you have to do a sequence of moves  so that you get all of the numbers in order. And for those of you who know this this game,",19
20,260.96,274.4,this example that I have on the slide is actually unsolved. There is no way you can flip the order  and 15 of 14 and 15 in this puzzle. And I have a link here if you want to actually play the,20
